รายการ,ส่งออก,นำเข้า,ดุลการค้า
ม.ค. 2564,5.89E+11,5.97E+11,-7504776557
ก.พ. 2564,6.01E+11,6.03E+11,-2359581909
มี.ค. 2564,7.17E+11,6.99E+11,17296267115
เม.ย. 2564,6.56E+11,6.50E+11,5461910993
พ.ค. 2564,7.16E+11,6.93E+11,22453796311
มิ.ย. 2564,7.39E+11,7.13E+11,26904086310
ก.ค. 2564,7.09E+11,6.99E+11,9773004971
ส.ค. 2564,7.15E+11,7.58E+11,-42478615062
ก.ย. 2564,7.63E+11,7.46E+11,17210182776
ต.ค. 2564,7.51E+11,7.64E+11,-12359302362
พ.ย. 2564,7.86E+11,7.52E+11,33882402490
ธ.ค. 2564,8.27E+11,8.67E+11,-40102113228
ม.ค. 2565,7.07E+11,7.82E+11,-74249731427
ก.พ. 2565,7.71E+11,7.72E+11,-1002613070
มี.ค. 2565,9.23E+11,8.68E+11,54629372244
เม.ย. 2565,7.83E+11,8.42E+11,-59279660550
พ.ค. 2565,8.55E+11,9.17E+11,-62467645168
มิ.ย. 2565,9.06E+11,9.55E+11,-48581821086
ก.ค. 2565,8.28E+11,9.63E+11,-1.34E+11
ส.ค. 2565,8.63E+11,1.01E+12,-1.48E+11
ก.ย. 2565,8.90E+11,9.19E+11,-29851220149
ต.ค. 2565,8.03E+11,8.25E+11,-21341509732
พ.ย. 2565,8.49E+11,9.02E+11,-52292182026
ธ.ค. 2565,7.78E+11,8.14E+11,-35641168997
ม.ค. 2566,7.13E+11,8.67E+11,-1.54E+11
ก.พ. 2566,7.36E+11,7.67E+11,-30180000000
มี.ค. 2566,9.55E+11,8.53E+11,1.02E+11
เม.ย. 2566,7.41E+11,7.90E+11,-49630000000
พ.ค. 2566,8.37E+11,8.97E+11,-60070000000
มิ.ย. 2566,8.50E+11,8.48E+11,2598806947
ก.ค. 2566,7.71E+11,8.37E+11,-66490000000
ส.ค. 2566,8.31E+11,8.18E+11,12959000000
ก.ย. 2566,8.96E+11,8.22E+11,74355000000
ต.ค. 2566,8.48E+11,8.73E+11,-25060000000
พ.ย. 2566,8.55E+11,9.35E+11,-80500000000
ธ.ค. 2566,7.96E+11,7.62E+11,33774000000
ม.ค. 2567,7.71E+11,8.82E+11,-1.11E+11
ก.พ. 2567,8.28E+11,8.51E+11,-22404309506
มี.ค. 2567,8.96E+11,9.38E+11,-41664463310
เม.ย. 2567,8.33E+11,9.04E+11,-70472043178
พ.ค. 2567,9.61E+11,9.40E+11,20647245584
มิ.ย. 2567,8.93E+11,8.88E+11,4789362244
ก.ค. 2567,9.38E+11,1.00E+12,-61469454161
ส.ค. 2567,9.40E+11,9.41E+11,-1497408349
ก.ย. 2567,8.89E+11,8.86E+11,2738408241
ต.ค. 2567,8.97E+11,9.35E+11,-37964703875
พ.ย. 2567,8.49E+11,8.67E+11,-18387053829
ธ.ค. 2567,8.53E+11,8.64E+11,-10624900863
ม.ค. 2568,8.62E+11,9.38E+11,-75745450153
ก.พ. 2568,9.07E+11,8.49E+11,57696028776
มี.ค. 2568,9.88E+11,9.68E+11,20754617949